Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,BOUE Aline POSITION,BOUE Aline LAP TIME,BOUE Aline ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Brigid FARRELL POSITION,Brigid FARRELL LAP TIME,Brigid FARRELL ELAPSED TIME
1,16.484,16.484,4,16.774,16.774,3,16.733,16.733,5,17.219,17.219,2,16.555,16.555
1,13.620,30.103,4,13.656,30.429,3,13.533,30.266,5,13.606,30.825,2,13.631,30.185
1,11.183,41.286,3,10.993,41.421,2,11.071,41.336,5,11.033,41.857,4,11.252,41.437
2,10.793,52.078,3,10.766,52.186,4,10.921,52.257,5,10.518,52.374,1,10.503,51.939
4,10.185,1:02.262,1,9.430,1:01.616,5,10.503,1:02.760,2,9.488,1:01.861,3,10.004,1:01.943
4,9.632,1:11.893,1,9.475,1:11.091,5,10.476,1:13.235,3,9.839,1:11.700,2,9.739,1:11.681
4,9.684,1:21.577,1,9.865,1:20.955,5,10.521,1:23.755,2,9.677,1:21.377,3,9.760,1:21.441
4,9.949,1:31.525,1,9.789,1:30.744,5,10.575,1:34.330,3,9.968,1:31.345,2,9.901,1:31.342
3,10.90,1:42.418,1,10.34,1:41.078,4,11.13,1:45.455,2,10.66,1:42.004,0,,DQ
