Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
3,7.48,7.48,1,7.10,7.10,4,7.53,7.53,2,7.21,7.21,5,7.64,7.64
5,9.58,17.06,1,9.03,16.13,3,9.06,16.59,2,9.08,16.29,4,9.41,17.05
5,9.16,26.22,1,8.65,24.78,3,8.59,25.18,2,8.77,25.06,4,8.92,25.97
5,9.05,35.27,1,8.81,33.59,2,8.91,34.09,3,9.09,34.15,4,9.12,35.09
5,9.25,44.506,1,9.13,42.720,2,9.22,43.294,3,9.39,43.525,4,9.34,44.430
