Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME
2,13.21,13.21,1,13.12,13.12,3,13.31,13.31,4,13.43,13.43
2,10.25,23.46,1,10.26,23.38,3,10.24,23.55,4,10.24,23.67
4,11.05,34.51,1,10.17,33.55,2,10.27,33.82,3,10.51,34.18
4,9.79,44.30,1,10.15,43.70,2,9.97,43.79,3,9.89,44.07
4,9.69,53.99,1,9.95,53.65,2,9.95,53.74,3,9.79,53.86
4,9.87,1:03.86,1,9.86,1:03.51,2,9.85,1:03.59,3,9.86,1:03.72
4,9.78,1:13.64,1,9.76,1:13.27,2,9.77,1:13.36,3,9.85,1:13.57
4,9.97,1:23.61,1,9.66,1:22.93,2,9.63,1:22.99,3,9.92,1:23.49
3,10.25,1:33.854,1,9.98,1:32.904,0,,PEN,2,10.32,1:33.801
