CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME
3,14.26,14.26,2,14.21,14.21,4,14.28,14.28,5,14.40,14.40,1,14.03,14.03
3,9.88,24.14,4,10.04,24.25,5,10.08,24.36,1,9.55,23.95,2,9.95,23.98
3,9.82,33.96,4,9.83,34.08,5,9.84,34.20,2,9.89,33.84,1,9.71,33.69
2,9.98,43.94,4,10.02,44.10,5,10.00,44.20,3,10.11,43.95,1,10.14,43.83
1,9.27,53.21,4,9.53,53.63,5,9.49,53.69,3,9.57,53.52,2,9.53,53.36
1,9.30,1:02.51,4,9.15,1:02.78,5,9.39,1:03.08,3,9.24,1:02.76,2,9.27,1:02.63
1,9.36,1:11.87,4,9.53,1:12.31,5,9.35,1:12.43,3,9.46,1:12.22,2,9.40,1:12.03
1,9.47,1:21.34,3,9.69,1:22.00,5,9.73,1:22.16,4,9.79,1:22.01,2,9.69,1:21.72
1,9.70,1:31.04,4,9.87,1:31.876,3,9.70,1:31.866,5,10.10,1:32.115,2,10.10,1:31.82
