Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
2,16.00,16.00,3,16.20,16.20,5,16.43,16.43,4,16.34,16.34,1,15.87,15.87
3,13.11,29.11,1,12.88,29.08,5,13.07,29.50,4,13.06,29.40,2,13.23,29.10
1,10.70,39.81,2,10.75,39.83,5,10.79,40.29,4,10.72,40.12,3,10.88,39.98
1,9.95,49.76,2,10.07,49.90,5,10.06,50.35,4,9.97,50.09,3,9.99,49.97
1,9.72,59.48,3,9.98,59.88,5,10.14,1:00.49,4,9.97,1:00.06,2,9.81,59.78
1,9.78,1:09.26,3,9.85,1:09.73,5,10.36,1:10.85,4,9.85,1:09.91,2,9.81,1:09.59
1,9.91,1:19.17,3,9.66,1:19.39,5,10.85,1:21.70,4,9.76,1:19.67,2,9.77,1:19.36
1,9.70,1:28.87,2,9.56,1:28.95,5,11.47,1:33.17,4,9.83,1:29.50,3,9.79,1:29.15
1,9.85,1:38.714,0,,PEN,4,12.22,1:45.385,3,9.82,1:39.318,2,9.72,1:38.870
