NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,LEE Munhyeon POSITION,LEE Munhyeon LAP TIME,LEE Munhyeon ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
5,11.14,11.14,2,10.30,10.30,4,10.56,10.56,3,10.37,10.37,6,11.30,11.30,1,10.06,10.06
5,14.79,25.93,2,15.12,25.42,3,14.94,25.50,4,15.39,25.76,6,15.16,26.46,1,15.19,25.25
5,14.60,40.53,1,14.27,39.69,4,14.48,39.98,2,14.07,39.83,6,14.33,40.79,3,14.70,39.95
5,14.72,55.25,2,15.19,54.88,4,15.03,55.01,3,15.14,54.97,6,14.97,55.76,1,14.56,54.51
4,12.99,1:08.24,3,12.93,1:07.81,2,12.68,1:07.69,5,13.28,1:08.25,6,12.54,1:08.30,1,12.91,1:07.42
5,10.96,1:19.20,2,11.02,1:18.83,3,11.18,1:18.87,4,10.87,1:19.12,6,11.06,1:19.36,1,11.37,1:18.79
5,10.14,1:29.34,4,10.16,1:28.99,3,10.09,1:28.96,1,9.56,1:28.68,6,10.39,1:29.75,2,9.99,1:28.78
5,9.97,1:39.31,4,9.90,1:38.89,3,9.88,1:38.84,2,10.02,1:38.70,6,9.92,1:39.67,1,9.91,1:38.69
4,9.00,1:48.31,3,9.41,1:48.30,5,9.58,1:48.42,2,9.58,1:48.28,6,9.41,1:49.08,1,9.53,1:48.22
5,10.17,1:58.48,2,9.44,1:57.74,3,9.65,1:58.07,4,9.82,1:58.10,6,9.77,1:58.85,1,9.51,1:57.73
5,9.00,2:07.48,1,9.12,2:06.86,3,8.98,2:07.05,4,9.07,2:07.17,6,8.96,2:07.81,2,9.14,2:06.87
5,8.96,2:16.44,1,8.93,2:15.79,2,8.88,2:15.93,4,9.04,2:16.21,6,8.76,2:16.57,3,9.12,2:15.99
2,8.51,2:24.95,1,8.62,2:24.41,5,9.37,2:25.30,3,8.78,2:24.99,6,8.96,2:25.53,4,9.01,2:25.00
5,10.91,2:35.854,1,9.87,2:34.278,0,,PEN,3,9.34,2:34.325,2,8.79,2:34.320,4,9.87,2:34.867
