CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,6.83,6.83,4,7.12,7.12,2,6.99,6.99,3,7.12,7.12
1,8.89,15.72,4,9.07,16.19,2,8.89,15.88,3,8.89,16.01
1,8.45,24.17,4,8.35,24.54,2,8.42,24.30,3,8.41,24.42
2,8.57,32.74,4,8.46,33.00,1,8.44,32.74,3,8.47,32.89
2,9.01,41.748,3,9.02,42.014,1,8.97,41.701,4,9.23,42.111
