SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
3,12.55,12.55,5,12.80,12.80,1,12.44,12.44,4,12.70,12.70,2,12.46,12.46,6,12.89,12.89
3,9.57,22.12,6,9.72,22.52,2,9.57,22.01,5,9.60,22.30,1,9.46,21.92,4,9.31,22.20
1,9.00,31.12,6,9.19,31.71,2,9.22,31.23,5,9.29,31.59,3,9.35,31.27,4,9.22,31.42
2,9.06,40.18,5,8.76,40.47,1,8.81,40.04,6,8.90,40.49,3,9.02,40.29,4,8.93,40.35
2,8.84,49.02,5,8.92,49.39,1,8.89,48.93,6,9.10,49.59,4,8.94,49.23,3,8.85,49.20
2,9.05,58.07,4,8.90,58.29,1,9.02,57.95,6,8.99,58.58,5,9.18,58.41,3,8.96,58.16
2,9.06,1:07.13,4,9.07,1:07.36,1,9.05,1:07.00,6,9.34,1:07.92,5,9.40,1:07.81,3,9.06,1:07.22
2,9.05,1:16.18,4,9.06,1:16.42,1,9.06,1:16.06,5,9.78,1:17.70,6,9.91,1:17.72,3,9.08,1:16.30
2,9.13,1:25.31,3,8.93,1:25.35,1,9.14,1:25.20,5,10.14,1:27.810,6,10.59,1:28.280,4,9.08,1:25.349
