PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,HWANG Hye Jong POSITION,HWANG Hye Jong LAP TIME,HWANG Hye Jong ELAPSED TIME
1,7.61,7.61,2,7.72,7.72,4,7.78,7.78,3,7.73,7.73
1,10.01,17.63,2,10.03,17.75,3,10.12,17.91,4,10.28,18.01
2,9.65,27.29,1,9.47,27.23,3,9.54,27.45,4,9.53,27.55
1,9.79,37.08,2,9.87,37.10,4,9.70,37.16,3,9.60,37.15
1,9.98,47.054,2,10.05,47.145,4,10.15,47.308,3,10.08,47.222
