HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,7.958,7.958,3,8.021,8.021,4,8.245,8.245,6,8.775,8.775,5,8.330,8.330,1,7.840,7.840
3,12.298,20.256,1,11.583,19.605,4,12.238,20.482,6,12.053,20.828,5,12.199,20.529,2,12.233,20.073
3,11.892,32.149,1,12.199,31.804,5,12.004,32.486,6,11.887,32.714,4,11.832,32.360,2,12.011,32.084
3,12.312,44.461,1,12.561,44.365,4,12.312,44.798,6,12.491,45.205,5,12.548,44.909,2,12.360,44.444
3,11.984,56.444,1,11.385,55.749,4,11.650,56.448,6,11.810,57.015,5,11.752,56.661,2,11.928,56.371
3,10.301,1:06.745,1,10.820,1:06.569,4,10.338,1:06.786,6,10.323,1:07.338,5,10.313,1:06.973,2,10.261,1:06.632
3,9.730,1:16.475,2,9.897,1:16.466,1,9.651,1:16.437,5,9.865,1:17.203,6,12.328,1:19.302,4,9.991,1:16.623
4,18.887,1:35.362,1,9.868,1:26.334,5,19.174,1:35.611,3,9.798,1:27.001,2,7.212,1:26.514,6,20.191,1:36.814
4,11.821,1:47.184,1,9.958,1:36.291,5,11.926,1:47.537,3,10.057,1:37.059,2,10.113,1:36.627,6,11.784,1:48.597
4,9.784,1:56.967,1,10.149,1:46.441,5,10.301,1:57.838,3,10.217,1:47.276,2,10.157,1:46.784,6,10.252,1:58.849
4,9.784,2:06.752,1,9.912,1:56.352,5,10.342,2:08.180,3,10.496,1:57.772,2,9.917,1:56.701,6,10.540,2:09.389
4,10.016,2:16.768,1,9.778,2:06.130,5,10.888,2:19.068,3,10.833,2:08.605,2,10.563,2:07.264,6,10.746,2:20.136
4,9.987,2:26.755,1,10.202,2:16.332,5,11.074,2:30.142,3,11.398,2:20.004,2,10.611,2:17.875,6,11.227,2:31.363
4,10.479,2:37.235,1,10.775,2:27.108,5,11.607,2:41.748,3,11.985,2:31.989,2,10.983,2:28.858,6,11.816,2:43.179
