Anouk LEBLANC-BOUCHER POSITION,Anouk LEBLANC-BOUCHER LAP TIME,Anouk LEBLANC-BOUCHER ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Miyuki OZAWA POSITION,Miyuki OZAWA LAP TIME,Miyuki OZAWA ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME
1,7.483,7.483,2,7.634,7.634,3,7.980,7.980,4,8.095,8.095,5,8.163,8.163
2,10.736,18.219,1,10.491,18.125,3,10.366,18.345,4,10.324,18.419,5,10.309,18.472
2,11.076,29.295,1,11.104,29.229,3,11.097,29.442,4,11.046,29.464,5,11.026,29.497
2,11.573,40.868,1,11.617,40.845,4,11.678,41.119,5,11.855,41.319,3,11.553,41.050
1,12.393,53.260,2,12.433,53.278,3,12.359,53.478,5,12.381,53.699,4,12.613,53.662
2,12.658,1:05.918,1,12.594,1:05.871,3,12.471,1:05.948,5,12.521,1:06.220,4,12.348,1:06.010
1,10.825,1:16.742,2,11.002,1:16.873,4,11.080,1:17.028,5,10.882,1:17.102,3,11.008,1:17.017
2,11.366,1:28.107,1,11.160,1:28.032,3,11.189,1:28.216,5,11.257,1:28.359,4,11.334,1:28.351
2,10.712,1:38.819,1,10.785,1:38.816,4,10.816,1:39.032,3,10.671,1:39.029,5,10.690,1:39.041
3,10.682,1:49.500,1,10.638,1:49.454,2,10.433,1:49.464,5,10.632,1:49.661,4,10.564,1:49.604
1,10.412,1:59.912,3,10.718,2:00.172,2,10.540,2:00.004,5,10.557,2:00.218,4,10.572,2:00.176
1,10.432,2:10.344,4,10.397,2:10.568,3,10.509,2:10.512,5,10.374,2:10.591,2,10.176,2:10.351
2,10.271,2:20.614,5,10.801,2:21.369,3,10.778,2:21.289,4,10.765,2:21.355,1,9.703,2:20.054
2,10.64,2:31.252,5,11.73,2:33.091,3,10.81,2:32.091,4,10.91,2:32.259,1,10.67,2:30.715
