DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
5,10.49,,4,10.32,10.32,7,10.89,10.89,2,10.12,10.12,1,10.06,10.06,6,10.66,10.66,3,10.26,10.26
5,13.21,,4,13.25,23.57,7,13.11,24.00,2,13.14,23.26,1,13.06,23.12,6,13.15,23.81,3,13.17,23.43
5,12.02,,4,11.99,35.56,7,11.99,35.99,2,12.02,35.28,1,12.04,35.16,6,12.02,35.83,3,12.01,35.44
5,11.47,,4,11.59,47.15,7,11.46,47.45,3,11.66,46.94,1,11.63,46.79,6,11.48,47.31,2,11.46,46.90
2,9.95,,6,10.32,57.47,7,10.20,57.65,1,10.11,57.05,3,10.42,57.21,5,10.15,57.46,4,10.42,57.32
3,9.77,,6,9.76,1:07.23,7,9.71,1:07.36,1,9.74,1:06.79,5,9.81,1:07.02,2,9.39,1:06.85,4,9.68,1:07.00
3,9.20,,7,9.37,1:16.60,6,9.12,1:16.48,2,9.20,1:15.99,5,9.33,1:16.35,1,9.04,1:15.89,4,9.24,1:16.24
3,9.21,,7,9.24,1:25.84,6,9.24,1:25.72,2,9.19,1:25.18,5,9.21,1:25.56,1,9.25,1:25.14,4,9.23,1:25.47
2,9.16,,6,9.03,1:34.87,5,9.06,1:34.78,1,9.13,1:34.31,4,9.10,1:34.66,7,9.88,1:35.02,3,9.10,1:34.57
2,9.22,,6,9.25,1:44.12,5,9.20,1:43.98,1,9.28,1:43.59,4,9.20,1:43.86,7,9.34,1:44.36,3,9.16,1:43.73
2,9.26,,5,9.16,1:53.28,6,9.45,1:53.43,1,9.25,1:52.84,3,9.19,1:53.05,7,9.09,1:53.45,3,9.32,1:53.05
2,9.15,,5,9.15,2:02.43,6,9.17,2:02.60,1,9.17,2:02.01,4,9.26,2:02.31,7,9.56,2:03.01,3,9.20,2:02.25
2,9.34,,5,9.37,2:11.80,6,9.32,2:11.92,1,9.28,2:11.29,4,9.30,2:11.61,7,9.81,2:12.82,3,9.23,2:11.48
2,9.30,,3,9.23,2:21.037,5,9.52,2:21.443,1,9.38,2:20.67,4,9.49,2:21.103,6,10.49,2:23.317,3,9.41,2:20.89
