SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
3,13.03,,4,13.10,13.10,5,13.13,13.13,1,12.82,12.82,2,12.92,12.92
1,9.40,,4,9.67,22.77,5,9.72,22.85,2,9.75,22.57,3,9.76,22.68
1,9.26,,5,9.35,32.12,4,9.13,31.98,2,9.22,31.79,3,9.20,31.88
1,9.00,,5,8.97,41.09,4,9.02,41.00,2,8.99,40.78,3,8.99,40.87
2,8.99,,5,8.87,49.96,4,8.86,49.86,1,8.84,49.62,3,8.92,49.79
2,9.09,,5,9.13,59.09,4,9.11,58.97,1,9.01,58.63,3,9.06,58.85
2,8.81,,5,8.97,1:08.06,4,8.88,1:07.85,1,8.84,1:07.47,3,8.82,1:07.67
5,10.10,,4,8.95,1:17.01,3,9.13,1:16.98,1,8.93,1:16.40,2,9.22,1:16.89
5,11.86,,2,9.17,1:26.18,4,9.68,1:26.66,1,9.46,1:25.86,3,9.46,1:26.35
