IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Maryia TSIASELKINA POSITION,Maryia TSIASELKINA LAP TIME,Maryia TSIASELKINA ELAPSED TIME,Emma van ZUIJLEN POSITION,Emma van ZUIJLEN LAP TIME,Emma van ZUIJLEN ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Gabriella HACHEM POSITION,Gabriella HACHEM LAP TIME,Gabriella HACHEM ELAPSED TIME
7,10.70,10.70,2,10.00,10.00,6,10.33,10.33,4,10.10,,3,10.05,10.05,1,9.92,9.92,5,10.30,10.30
7,11.98,22.68,3,11.73,21.73,6,12.18,22.51,4,11.74,,2,11.59,21.64,1,11.55,21.47,5,11.75,22.05
7,10.73,33.41,3,10.78,32.51,6,10.72,33.23,4,10.77,,2,10.76,32.40,1,10.79,32.26,5,10.58,32.63
7,10.90,44.31,3,10.83,43.34,6,10.80,44.03,4,10.79,,2,10.85,43.25,1,10.85,43.11,5,10.88,43.51
7,10.96,55.27,3,10.91,54.25,6,10.88,54.91,4,10.94,,2,10.90,54.15,1,10.92,54.03,5,10.94,54.45
7,10.92,1:06.19,3,10.89,1:05.14,6,11.00,1:05.91,4,10.85,,2,10.89,1:05.04,1,10.86,1:04.89,5,10.85,1:05.30
7,10.93,1:17.12,3,10.78,1:15.92,6,11.09,1:17.00,4,10.86,,2,10.75,1:15.79,1,10.82,1:15.71,5,10.84,1:16.14
7,11.35,1:28.47,3,10.81,1:26.73,6,11.31,1:28.31,5,10.86,,2,10.83,1:26.62,1,10.85,1:26.56,4,10.69,1:26.83
7,11.51,1:39.98,5,10.92,1:37.65,6,11.46,1:39.77,4,10.51,,2,10.68,1:37.30,1,10.64,1:37.20,3,10.58,1:37.41
7,11.50,1:51.48,5,10.40,1:48.05,6,11.57,1:51.34,4,10.49,,2,10.42,1:47.72,1,10.36,1:47.56,3,10.39,1:47.80
7,11.95,2:03.43,5,10.20,1:58.25,6,11.93,2:03.27,4,10.22,,3,10.29,1:58.01,1,10.27,1:57.83,2,10.10,1:57.90
5,12.30,2:15.73,3,10.19,2:08.44,4,12.16,2:15.43,7,26.08,,6,23.69,2:21.70,2,10.37,2:08.20,1,10.26,2:08.16
5,13.26,2:28.99,3,10.16,2:18.60,4,12.19,2:27.62,7,26.03,,6,22.34,2:44.04,2,10.27,2:18.47,1,9.94,2:18.10
5,12.74,2:41.702,3,10.21,2:28.787,4,12.69,2:40.284,7,17.39,,6,12.60,2:56.608,2,10.11,2:28.564,1,10.35,2:28.432
