CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
3,13.20,13.20,4,13.36,13.36,1,12.96,12.96,2,13.04,13.04
3,9.85,23.05,4,9.85,23.21,1,9.96,22.92,2,9.97,23.01
3,9.72,32.77,4,9.65,32.86,1,9.66,32.58,2,9.64,32.65
3,9.83,42.60,4,9.87,42.73,1,9.85,42.43,2,9.85,42.50
2,9.66,52.26,4,9.73,52.46,3,9.83,52.26,1,9.60,52.10
4,27.29,1:19.55,2,10.09,1:02.55,3,20.85,1:13.11,1,9.85,1:01.95
4,19.83,1:39.38,2,10.03,1:12.58,3,13.07,1:26.18,1,10.06,1:12.01
4,13.15,1:52.53,2,10.03,1:22.61,3,12.14,1:38.32,1,10.33,1:22.34
3,12.81,2:05.335,2,10.51,1:33.115,0,,PEN,1,10.58,1:32.913
