Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
2,8.20,8.20,5,8.92,8.92,3,8.42,8.42,1,8.05,8.05,6,9.03,9.03,4,8.61,8.61
2,11.19,19.39,3,10.56,19.48,4,11.08,19.50,1,11.24,19.29,6,10.65,19.68,5,10.98,19.59
5,10.72,30.11,1,10.28,29.76,6,10.71,30.21,3,10.65,29.94,2,10.08,29.76,4,10.43,30.02
5,10.15,40.26,2,10.25,40.01,6,10.18,40.39,4,10.20,40.14,1,10.14,39.90,3,10.05,40.07
5,10.42,50.68,2,10.37,50.38,6,10.46,50.85,4,10.45,50.59,1,10.34,50.24,3,10.41,50.48
5,10.12,1:00.80,2,10.17,1:00.55,6,10.07,1:00.92,4,10.11,1:00.70,1,10.19,1:00.43,3,10.15,1:00.63
5,9.97,1:10.77,2,9.88,1:10.43,6,9.96,1:10.88,3,9.82,1:10.52,1,9.85,1:10.28,4,10.02,1:10.65
5,9.72,1:20.49,2,9.73,1:20.16,6,9.71,1:20.59,3,9.74,1:20.26,1,9.76,1:20.04,4,9.70,1:20.35
5,9.66,1:30.15,2,9.57,1:29.73,6,9.64,1:30.23,3,9.56,1:29.82,1,9.55,1:29.59,4,9.55,1:29.90
6,9.78,1:39.93,2,9.19,1:38.92,5,9.44,1:39.67,3,9.20,1:39.02,1,9.22,1:38.81,4,9.25,1:39.15
6,10.14,1:50.07,1,9.08,1:48.00,5,9.26,1:48.93,3,9.14,1:48.16,2,9.20,1:48.01,4,9.23,1:48.38
6,10.88,2:00.95,1,8.79,1:56.79,5,9.18,1:58.11,3,9.19,1:57.35,2,9.24,1:57.25,4,9.16,1:57.54
6,11.33,2:12.28,1,8.85,2:05.64,5,9.36,2:07.47,3,9.40,2:06.75,2,9.49,2:06.74,4,9.32,2:06.86
6,11.52,2:23.800,1,10.00,2:15.640,5,9.81,2:17.276,3,9.75,2:16.495,2,9.66,2:16.396,4,9.76,2:16.615
