Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
2,8.62,8.62,1,8.50,8.50,6,9.22,9.22,4,8.91,8.91,3,8.77,8.77,5,9.04,9.04
3,12.60,21.22,2,12.61,21.11,6,12.51,21.73,4,12.50,21.41,1,12.31,21.08,5,12.50,21.54
3,11.95,33.17,2,11.95,33.06,6,11.76,33.49,4,11.88,33.29,1,11.85,32.93,5,11.84,33.38
4,12.52,45.69,3,12.48,45.54,6,12.46,45.95,2,12.22,45.51,1,12.47,45.40,5,12.45,45.83
4,10.40,56.09,3,10.39,55.93,6,10.52,56.47,1,10.25,55.76,2,10.42,55.82,5,10.38,56.21
4,10.35,1:06.44,3,10.40,1:06.33,6,10.17,1:06.64,2,10.40,1:06.16,1,10.30,1:06.12,5,10.35,1:06.56
1,10.00,1:16.44,3,10.26,1:16.59,6,10.22,1:16.86,4,10.44,1:16.60,2,10.40,1:16.52,5,10.21,1:16.77
1,9.68,1:26.12,3,9.77,1:26.36,6,9.89,1:26.75,4,9.87,1:26.47,2,9.74,1:26.26,5,9.84,1:26.61
1,9.80,1:35.92,3,9.74,1:36.10,6,9.66,1:36.41,4,9.74,1:36.21,2,9.75,1:36.01,5,9.70,1:36.31
1,9.82,1:45.74,3,9.80,1:45.90,6,9.80,1:46.21,4,9.79,1:46.00,2,9.82,1:45.83,5,9.79,1:46.10
1,9.81,1:55.55,3,9.83,1:55.73,6,9.81,1:56.02,4,9.81,1:55.81,2,9.80,1:55.63,5,9.80,1:55.90
1,9.70,2:05.25,3,9.72,2:05.45,6,9.89,2:05.91,4,9.70,2:05.51,2,9.73,2:05.36,5,9.72,2:05.62
1,9.79,2:15.04,3,9.91,2:15.36,6,10.29,2:16.20,4,9.85,2:15.36,2,9.91,2:15.27,5,9.88,2:15.50
1,9.98,2:25.020,4,11.53,2:26.887,5,10.89,2:27.084,0,,PEN,3,10.54,2:25.801,2,10.04,2:25.531
