Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME
3,17.119,17.119,1,16.977,16.977,2,17.047,17.047,4,17.370,17.370
1,11.820,28.938,4,12.677,29.653,2,12.091,29.138,3,11.991,29.360
1,11.497,40.435,3,10.944,40.597,2,11.322,40.460,4,11.458,40.818
2,9.991,50.425,3,10.049,50.646,1,9.712,50.171,4,9.849,50.667
3,9.979,1:00.404,2,9.618,1:00.264,1,10.001,1:00.171,4,9.871,1:00.538
3,9.199,1:09.602,1,9.273,1:09.537,4,9.456,1:09.627,2,9.034,1:09.571
4,9.812,1:19.414,2,9.272,1:18.808,1,9.152,1:18.778,3,9.302,1:18.873
4,9.975,1:29.389,3,9.818,1:28.626,1,9.533,1:28.311,2,9.725,1:28.598
4,11.24,1:40.629,3,10.05,1:38.674,2,10.29,1:38.598,1,9.96,1:38.555
