GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
2,13.034,13.034,1,12.708,12.708,3,13.297,13.297,4,13.445,13.445
2,10.374,23.407,1,9.783,22.490,4,10.373,23.670,3,10.138,23.582
2,9.639,33.045,1,9.717,32.207,4,9.674,33.343,3,9.630,33.212
2,9.497,42.542,1,9.535,41.742,4,9.496,42.839,3,9.613,42.824
2,9.664,52.206,1,9.359,51.100,4,9.623,52.462,3,9.471,52.295
2,9.531,1:01.737,1,9.442,1:00.542,4,9.498,1:01.959,3,9.577,1:01.872
2,9.585,1:11.322,1,9.713,1:10.255,4,9.593,1:11.551,3,9.652,1:11.523
2,9.433,1:20.754,1,9.632,1:19.886,3,9.343,1:20.894,4,9.500,1:21.023
2,9.632,1:30.386,1,9.500,1:29.385,4,9.777,1:30.670,3,9.608,1:30.630
2,9.590,1:39.975,1,9.898,1:39.283,3,9.474,1:40.144,4,9.570,1:40.200
2,9.534,1:49.509,1,9.572,1:48.854,3,9.599,1:49.743,4,9.609,1:49.808
2,9.586,1:59.095,1,9.465,1:58.319,3,9.363,1:59.105,4,9.532,1:59.340
2,9.647,2:08.741,1,9.698,2:08.017,3,9.768,2:08.873,4,9.586,2:08.925
2,9.492,2:18.233,1,9.348,2:17.364,3,9.440,2:18.313,4,9.556,2:18.481
2,9.557,2:27.790,1,9.759,2:27.123,3,9.795,2:28.108,4,9.638,2:28.118
2,9.521,2:37.310,1,9.691,2:36.813,4,9.795,2:37.902,3,9.727,2:37.844
2,9.645,2:46.955,1,9.616,2:46.429,3,9.371,2:47.272,4,9.641,2:47.484
2,9.812,2:56.766,1,9.687,2:56.115,3,9.643,2:56.915,4,9.647,2:57.130
2,9.753,3:06.519,1,9.529,3:05.644,3,9.745,3:06.659,4,9.803,3:06.932
3,9.650,3:16.168,1,9.509,3:15.153,2,9.459,3:16.118,4,9.541,3:16.473
3,9.754,3:25.922,1,9.651,3:24.804,2,9.577,3:25.694,4,9.822,3:26.295
2,9.727,3:35.649,1,9.663,3:34.466,3,10.084,3:35.778,4,9.700,3:35.995
3,9.964,3:45.612,1,9.708,3:44.174,4,10.027,3:45.805,2,9.609,3:45.603
2,10.036,3:55.648,1,9.787,3:53.960,4,10.083,3:55.887,3,10.144,3:55.747
2,10.002,4:05.649,1,9.490,4:03.450,4,9.971,4:05.857,3,10.001,4:05.748
2,9.789,4:15.438,1,9.952,4:13.401,3,9.630,4:15.486,4,9.814,4:15.561
4,10.01,4:25.446,1,10.15,4:23.548,2,9.64,4:25.119,3,9.89,4:25.444
