Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
1,13.51,13.51,4,13.82,13.82,2,13.62,13.62,3,13.65,13.65
3,10.49,24.00,4,10.27,24.09,2,10.28,23.90,1,9.90,23.55
3,9.96,33.96,4,10.11,34.20,2,10.04,33.94,1,10.27,33.82
2,10.23,44.19,4,10.23,44.43,3,10.39,44.33,1,10.27,44.09
2,10.44,54.63,4,10.44,54.87,3,10.43,54.76,1,10.45,54.54
2,10.35,1:04.98,3,10.41,1:05.28,4,10.56,1:05.32,1,10.32,1:04.86
2,10.01,1:14.99,3,9.96,1:15.24,4,11.23,1:16.55,1,10.05,1:14.91
2,10.12,1:25.11,3,10.03,1:25.27,4,12.50,1:29.05,1,10.12,1:25.03
2,10.04,1:35.146,3,9.92,1:35.181,4,13.18,1:42.229,1,10.03,1:35.058
