Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
2,14.06,14.06,3,14.37,14.37,1,13.99,13.99
2,11.14,25.21,3,11.08,25.45,1,11.19,25.18
2,11.34,36.55,3,11.17,36.62,1,11.31,36.50
2,11.26,47.82,3,11.26,47.89,1,11.32,47.82
1,10.09,57.91,3,10.31,58.20,2,10.17,57.99
1,9.95,1:07.87,3,9.97,1:08.17,2,10.10,1:08.10
1,10.12,1:17.99,3,10.16,1:18.34,2,10.05,1:18.15
1,10.12,1:28.12,3,10.06,1:28.40,2,10.15,1:28.31
1,10.26,1:38.378,3,10.13,1:38.526,2,10.13,1:38.435
