LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME
3,12.98,12.98,2,12.94,12.94,1,12.94,12.94,4,13.25,13.25
3,10.00,22.98,1,9.99,22.93,2,10.00,22.94,4,9.85,23.10
3,9.62,32.60,1,9.66,32.59,2,9.66,32.60,4,9.83,32.93
3,9.89,42.49,2,9.80,42.39,1,9.77,42.37,4,9.87,42.80
2,10.01,52.50,1,10.10,52.49,4,10.47,52.84,3,9.99,52.79
1,9.90,1:02.40,2,10.08,1:02.57,4,10.10,1:02.94,3,10.12,1:02.91
1,9.75,1:12.15,2,9.76,1:12.33,3,9.76,1:12.70,4,9.85,1:12.76
1,9.65,1:21.80,2,9.76,1:22.09,4,10.07,1:22.77,3,9.51,1:22.27
1,9.97,1:31.762,2,10.25,1:32.333,4,10.53,1:33.294,3,10.17,1:32.440
