SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME
4,9.88,9.88,2,9.58,9.58,1,9.31,9.31,5,10.06,10.06,3,9.70,9.70
4,12.91,22.79,2,12.89,22.47,1,12.93,22.24,5,12.92,22.98,3,12.90,22.60
4,12.56,35.35,2,12.58,35.05,1,12.59,34.83,5,12.48,35.46,3,12.59,35.19
4,12.35,47.70,2,12.31,47.36,1,12.37,47.20,5,12.31,47.77,3,12.30,47.49
5,12.04,59.74,1,11.89,59.25,2,12.09,59.29,4,11.74,59.51,3,11.90,59.39
5,10.48,1:10.22,1,10.40,1:09.65,4,10.75,1:10.04,3,10.44,1:09.95,2,10.38,1:09.77
5,10.31,1:20.53,1,10.28,1:19.93,4,10.27,1:20.31,3,10.24,1:20.19,2,10.26,1:20.03
5,9.96,1:30.49,1,10.00,1:29.93,4,10.02,1:30.33,3,10.04,1:30.23,2,10.02,1:30.05
5,9.51,1:40.00,1,9.55,1:39.48,4,9.56,1:39.89,2,9.37,1:39.60,3,9.58,1:39.63
5,9.25,1:49.25,1,9.21,1:48.69,4,9.19,1:49.08,2,9.23,1:48.83,3,9.33,1:48.96
4,9.04,1:58.29,1,9.14,1:57.83,4,9.21,1:58.29,2,9.07,1:57.90,3,9.16,1:58.12
3,8.86,2:07.15,2,8.98,2:06.81,5,9.46,2:07.75,1,8.79,2:06.69,4,9.27,2:07.39
3,8.89,2:16.04,2,8.83,2:15.64,5,9.91,2:17.66,1,8.78,2:15.47,4,9.78,2:17.17
3,9.44,2:25.48,2,8.65,2:24.29,5,10.27,2:27.931,1,8.77,2:24.24,4,10.16,2:27.331
