Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,7.19,7.19,1,6.88,6.88,3,7.25,7.25,4,7.35,7.35
3,9.54,16.73,1,9.19,16.07,2,8.98,16.23,4,9.45,16.80
3,8.90,25.63,2,8.86,24.93,1,8.63,24.86,4,8.88,25.68
3,8.74,34.37,2,8.83,33.76,1,8.78,33.64,4,8.79,34.47
4,9.33,43.699,2,8.98,42.737,1,8.98,42.611,3,8.80,43.266
