Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME
1,7.000,7.000,2,7.050,7.050,4,7.150,7.150,3,7.110,7.110
1,9.390,16.390,2,9.490,16.550,3,9.430,16.580,4,9.510,16.630
1,9.100,25.500,2,9.120,25.670,3,9.160,25.750,4,9.150,25.780
1,9.220,34.720,2,9.110,34.790,3,9.290,35.040,4,9.310,35.090
4,9.930,44.660,1,9.720,44.510,2,9.500,44.550,3,9.540,44.640
