Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
2,7.10,7.10,1,6.88,6.88,4,7.32,7.32,3,7.13,7.13,5,7.41,7.41
3,9.08,16.18,1,8.88,15.76,4,8.99,16.31,2,8.81,15.94,5,9.01,16.42
4,8.84,25.02,2,8.55,24.31,5,22.44,38.75,1,8.29,24.23,3,8.49,24.91
4,9.04,34.06,2,8.59,32.90,5,14.21,52.96,1,8.52,32.75,3,8.81,33.72
4,9.24,43.30,2,8.57,41.47,5,11.24,1:04.20,1,8.65,41.40,3,8.94,42.66
