Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,David CAKO POSITION,David CAKO LAP TIME,David CAKO ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
4,11.95,11.95,5,12.15,12.15,3,11.73,,2,11.55,11.55,1,11.40,11.40
5,17.08,29.03,3,16.59,28.74,4,17.09,,2,17.15,28.70,1,17.20,28.60
5,15.97,45.00,3,15.90,44.64,4,15.98,,2,15.84,44.54,1,15.79,44.39
5,13.96,58.96,3,14.11,58.75,4,13.99,,2,14.08,58.62,1,14.08,58.47
3,13.29,1:12.25,4,13.55,1:12.30,5,13.57,,2,13.54,1:12.16,1,13.56,1:12.03
1,11.07,1:23.32,3,11.22,1:23.52,5,11.30,,4,11.40,1:23.56,2,11.40,1:23.43
1,10.28,1:33.60,2,10.20,1:33.72,4,10.23,,3,10.26,1:33.82,5,10.61,1:34.04
1,10.08,1:43.68,2,10.09,1:43.81,4,10.16,,3,10.16,1:43.98,4,10.01,1:44.05
1,9.93,1:53.61,2,9.90,1:53.71,4,9.76,,5,9.89,1:53.87,3,9.69,1:53.74
1,9.53,2:03.14,3,9.68,2:03.39,4,9.70,,5,9.80,2:03.67,2,9.52,2:03.26
1,9.31,2:12.45,3,9.24,2:12.63,4,9.30,,5,9.48,2:13.15,2,9.28,2:12.54
1,9.36,2:21.81,3,9.38,2:22.01,4,9.31,,5,9.84,2:22.99,2,9.35,2:21.89
1,9.51,2:31.32,3,9.53,2:31.54,4,9.56,,5,10.36,2:33.35,2,9.51,2:31.40
2,9.92,2:41.218,3,10.24,2:41.757,3,9.71,,4,10.90,2:44.221,1,9.68,2:41.056
