GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,6.87,6.87,4,7.33,7.33,2,7.07,7.07,3,7.33,7.33
1,9.11,15.98,4,9.55,16.88,2,9.05,16.12,3,9.23,16.56
1,8.71,24.69,4,9.18,26.06,2,8.66,24.78,3,8.95,25.51
2,8.88,33.57,4,9.25,35.31,1,8.71,33.49,3,9.14,34.65
2,8.98,42.549,4,9.41,44.712,1,8.86,42.346,3,9.42,44.069
