Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
1,6.744,6.744,4,7.128,7.128,3,6.971,6.971,2,6.904,6.904
1,9.047,15.791,4,9.532,16.660,3,9.364,16.335,2,8.976,15.880
1,8.667,24.458,4,9.145,25.805,3,8.464,24.799,2,8.792,24.672
2,8.866,33.324,4,9.429,35.234,1,8.452,33.251,3,8.871,33.543
2,9.271,42.594,4,9.547,44.780,1,8.747,41.998,3,9.198,42.741
