VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,KIM Chae Hyun POSITION,KIM Chae Hyun LAP TIME,KIM Chae Hyun ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME
3,14.16,14.16,5,14.51,14.51,2,13.96,13.96,1,13.78,13.78,4,14.34,14.34
3,9.96,24.12,5,9.85,24.36,2,10.09,24.05,1,10.18,23.96,4,9.87,24.21
3,10.09,34.21,4,10.00,34.36,2,10.07,34.12,1,10.07,34.03,5,10.30,34.51
3,9.99,44.20,4,9.91,44.27,2,9.98,44.10,1,9.99,44.02,5,9.90,44.41
3,10.09,54.29,4,10.15,54.42,2,10.07,54.17,1,10.10,54.12,5,10.13,54.54
3,9.83,1:04.12,4,9.81,1:04.23,2,9.90,1:04.07,1,9.90,1:04.02,5,9.85,1:04.39
4,9.99,1:14.11,3,9.75,1:13.98,2,9.83,1:13.90,1,9.84,1:13.86,5,9.84,1:14.23
4,9.97,1:24.08,2,9.99,1:23.97,1,10.00,1:23.90,3,10.14,1:24.00,5,10.13,1:24.36
4,10.36,1:34.446,1,9.74,1:33.71,2,10.04,1:33.94,3,10.04,1:34.04,5,10.19,1:34.550
