START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
6,9.14,,3,8.81,8.81,7,9.30,9.30,5,8.97,8.97,1,8.67,8.67,2,8.74,8.74,8,9.40,9.40,9,9.55,9.55,4,8.83,8.83,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
2,11.13,,5,11.80,20.61,7,11.52,20.82,6,11.74,20.71,1,11.57,20.24,4,11.75,20.49,8,11.58,20.98,9,11.51,21.06,3,11.52,20.35,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
1,10.88,,3,10.66,31.27,9,10.85,31.67,8,10.86,31.57,2,10.92,31.16,6,10.96,31.45,5,10.33,31.31,7,10.44,31.50,4,10.94,31.29,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
5,10.65,,3,10.34,41.61,8,10.44,42.11,9,10.67,42.24,4,10.54,41.70,7,10.58,42.03,2,10.17,41.48,1,9.96,41.46,6,10.64,41.93,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
6,10.15,,4,10.19,51.80,8,10.13,52.24,9,10.12,52.36,4,10.10,51.80,7,10.11,52.14,2,10.27,51.75,1,10.18,51.64,3,9.83,51.76,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
6,9.99,,5,10.04,1:01.84,8,9.92,1:02.16,9,9.83,1:02.19,4,9.98,1:01.78,7,9.93,1:02.07,3,9.92,1:01.67,2,10.00,1:01.64,1,9.81,1:01.57,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
5,9.92,,3,9.78,1:11.62,8,9.96,1:12.12,9,18.12,1:20.31,6,10.18,1:11.96,7,10.02,1:12.09,2,9.86,1:11.53,4,9.99,1:11.63,1,9.90,1:11.47,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
5,9.74,,3,9.82,1:21.44,7,9.65,1:21.77,9,24.26,1:44.57,6,9.76,1:21.72,8,9.71,1:21.80,2,9.80,1:21.33,4,9.87,1:21.50,1,9.75,1:21.22,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
5,9.52,,3,9.50,1:30.94,7,9.57,1:31.34,9,14.69,1:59.26,6,9.55,1:31.27,8,9.70,1:31.50,1,9.36,1:30.69,4,9.50,1:31.00,2,9.63,1:30.85,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
5,9.31,,4,9.45,1:40.39,7,9.30,1:40.64,9,15.10,2:14.36,6,9.18,1:40.45,8,9.21,1:40.71,1,9.40,1:40.09,3,9.30,1:40.30,2,9.36,1:40.21,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
7,9.59,,5,9.41,1:49.80,8,9.53,1:50.17,9,15.65,2:30.01,4,9.34,1:49.79,6,9.25,1:49.96,1,9.44,1:49.53,3,9.37,1:49.67,2,9.44,1:49.65,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
4,9.36,,7,12.52,2:02.32,5,9.38,1:59.55,9,12.84,2:42.85,6,10.15,1:59.94,3,9.33,1:59.29,1,9.41,1:58.94,2,9.38,1:59.05,8,30.91,2:20.56,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
3,9.28,,7,23.27,2:25.59,5,9.43,2:08.98,9,11.05,2:53.90,6,10.46,2:10.40,4,9.40,2:08.69,1,9.47,2:08.41,2,9.44,2:08.49,8,19.36,2:39.92,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
3,9.59,,6,15.82,2:41.415,4,9.64,2:18.629,8,10.64,3:04.543,5,11.08,2:21.487,4,9.67,2:18.36,1,9.62,2:18.03,2,9.61,2:18.10,7,15.26,2:55.186,2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),1500m,m,Rep.Semifinals,1
