Elena YAKUSCHENKO POSITION,Elena YAKUSCHENKO LAP TIME,Elena YAKUSCHENKO ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Polona PEUNIK POSITION,Polona PEUNIK LAP TIME,Polona PEUNIK ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
3,8.046,8.046,1,7.256,7.256,2,7.794,7.794,4,8.344,8.344
4,10.577,18.622,1,9.544,16.799,2,9.885,17.679,3,9.486,17.830
4,9.861,28.482,1,9.561,26.359,2,9.703,27.382,3,9.639,27.469
4,10.068,38.550,1,9.781,36.140,2,9.626,37.007,3,9.644,37.112
4,10.68,49.225,1,10.22,46.357,3,10.21,47.215,2,9.83,46.935
