Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
1,14.44,14.44,2,14.55,14.55,3,14.62,14.62,4,14.85,14.85
1,10.32,24.76,2,10.31,24.86,3,10.26,24.88,4,10.27,25.12
2,9.58,34.34,1,9.20,34.06,3,9.66,34.54,4,9.55,34.67
2,9.33,43.67,1,9.58,43.64,3,9.35,43.89,4,9.28,43.95
2,9.36,53.03,1,9.29,52.93,4,9.44,53.33,3,9.18,53.13
2,9.43,1:02.46,1,9.39,1:02.32,4,9.34,1:02.67,3,9.38,1:02.51
4,9.35,1:11.81,3,9.42,1:11.74,2,8.94,1:11.61,1,8.88,1:11.39
4,9.33,1:21.14,3,9.34,1:21.08,2,8.82,1:20.43,1,8.85,1:20.24
3,9.65,1:30.784,4,9.81,1:30.887,2,9.00,1:29.425,1,8.99,1:29.222
