Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
2,8.316,8.316,4,8.745,8.745,5,8.771,8.771,1,8.181,8.181,3,8.521,8.521
2,11.694,20.010,5,11.357,20.102,4,11.260,20.031,1,11.665,19.845,3,11.508,20.029
1,10.542,30.552,4,10.569,30.672,5,10.794,30.825,2,10.748,30.593,3,10.609,30.638
2,10.902,41.453,4,10.982,41.653,5,10.890,41.715,1,10.716,41.309,3,10.851,41.489
1,10.714,52.167,5,21.044,1:02.697,2,10.493,52.208,3,10.958,52.267,4,10.799,52.288
3,10.171,1:02.339,5,9.752,1:12.450,1,9.904,1:02.112,2,10.020,1:02.287,4,10.234,1:02.521
2,9.845,1:12.184,0,,,1,9.824,1:11.935,3,9.986,1:12.273,4,9.799,1:12.320
1,9.819,1:22.002,4,,1:22.405,5,10.526,1:22.461,2,9.840,1:22.112,3,9.908,1:22.228
1,9.977,1:31.979,4,9.918,1:32.323,5,10.297,1:32.759,2,9.939,1:32.051,3,9.913,1:32.141
1,10.212,1:42.192,4,10.108,1:42.431,5,10.480,1:43.239,2,10.197,1:42.248,3,10.190,1:42.331
2,9.922,1:52.114,4,9.773,1:52.204,5,10.978,1:54.217,1,9.789,1:52.037,3,9.837,1:52.168
1,9.578,2:01.692,4,9.946,2:02.150,5,11.419,2:05.636,3,9.820,2:01.857,2,9.562,2:01.730
1,9.832,2:11.523,4,9.795,2:11.945,5,11.968,2:17.603,3,9.866,2:11.723,2,9.893,2:11.622
2,10.305,2:21.828,3,10.262,2:22.207,4,12.019,2:29.622,5,25.355,2:37.077,1,10.128,2:21.751
