Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,14.60,14.60,4,14.70,14.70,2,14.46,14.46,1,14.34,14.34,5,14.82,14.82
5,10.90,25.50,1,10.55,25.25,2,10.81,25.27,3,10.97,25.31,4,10.66,25.48
5,9.84,35.34,1,9.70,34.95,2,9.78,35.05,3,9.82,35.13,4,9.73,35.21
5,9.83,45.17,1,9.79,44.74,2,9.79,44.84,3,9.80,44.93,4,9.86,45.07
5,9.37,54.54,1,9.51,54.25,2,9.49,54.33,3,9.48,54.41,4,9.38,54.45
4,9.15,1:03.69,2,9.42,1:03.67,1,9.06,1:03.39,3,9.27,1:03.68,5,9.26,1:03.71
3,9.43,1:13.12,4,10.07,1:13.74,1,9.00,1:12.39,5,12.05,1:15.73,2,8.78,1:12.49
3,9.01,1:22.13,4,9.98,1:23.72,2,9.09,1:21.48,5,13.69,1:29.42,1,8.82,1:21.31
3,9.00,1:31.121,4,10.55,1:34.270,2,9.43,1:30.904,5,16.32,1:45.732,1,9.02,1:30.327
