CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
3,8.79,8.79,1,8.70,8.70,5,8.91,8.91,6,8.97,8.97,2,8.70,8.70,4,8.81,8.81
4,13.25,22.04,3,13.24,21.94,5,13.22,22.13,6,13.28,22.25,2,13.16,21.86,1,12.93,21.74
5,12.60,34.64,4,12.57,34.51,1,11.98,34.11,6,12.53,34.78,3,12.51,34.37,2,12.52,34.26
5,11.77,46.41,4,11.74,46.25,1,11.77,45.88,6,11.77,46.55,3,11.75,46.12,2,11.73,45.99
5,12.71,59.12,4,12.73,58.98,1,12.77,58.65,6,12.69,59.24,3,12.74,58.86,2,12.78,58.77
5,10.56,1:09.68,4,10.55,1:09.53,1,10.57,1:09.22,6,10.57,1:09.81,3,10.56,1:09.42,2,10.56,1:09.33
5,11.11,1:20.79,3,11.21,1:20.74,1,11.36,1:20.58,6,11.09,1:20.90,4,11.33,1:20.75,2,11.36,1:20.69
1,9.59,1:30.38,4,9.94,1:30.68,2,10.02,1:30.60,3,9.71,1:30.61,5,9.94,1:30.69,6,10.21,1:30.90
1,9.82,1:40.20,4,9.77,1:40.45,2,9.76,1:40.36,3,9.77,1:40.38,6,9.95,1:40.64,5,9.66,1:40.56
1,9.86,1:50.06,3,9.80,1:50.25,4,9.90,1:50.26,2,9.78,1:50.16,5,9.72,1:50.36,6,10.02,1:50.58
1,9.85,1:59.91,3,9.84,2:00.09,5,10.11,2:00.37,2,9.85,2:00.01,4,9.85,2:00.21,6,9.88,2:00.46
1,9.56,2:09.47,3,9.57,2:09.66,5,9.65,2:10.02,2,9.56,2:09.57,4,9.54,2:09.75,6,9.69,2:10.15
1,9.37,2:18.84,3,9.41,2:19.07,5,9.75,2:19.77,2,9.36,2:18.93,4,9.44,2:19.19,6,9.66,2:19.81
1,9.64,2:28.474,3,9.56,2:28.621,6,10.44,2:30.206,2,9.65,2:28.575,4,9.55,2:28.740,5,10.02,2:29.825
