Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME
3,12.20,12.20,1,12.18,12.18,1,12.18,,6,12.66,12.66,4,12.39,12.39,5,12.55,12.55
3,9.32,21.52,1,9.17,21.35,2,9.19,,6,9.15,21.81,4,9.14,21.53,5,9.14,21.69
4,9.31,30.83,2,9.27,30.62,1,9.13,,6,9.22,31.03,3,9.20,30.73,5,9.26,30.95
4,9.08,39.91,1,8.96,39.58,2,9.18,,6,9.17,40.20,3,9.04,39.77,5,9.05,40.00
4,9.11,49.02,1,9.11,48.69,2,9.13,,6,9.47,49.67,3,9.13,48.90,5,9.13,49.13
4,9.14,58.16,1,9.14,57.83,2,9.13,,5,13.63,1:03.30,3,9.14,58.04,6,20.17,1:09.30
4,9.22,1:07.38,1,9.21,1:07.04,2,9.19,,5,15.55,1:18.85,3,9.20,1:07.24,6,15.90,1:25.20
2,9.26,1:16.64,1,9.12,1:16.16,3,9.76,,5,12.87,1:31.72,4,10.08,1:17.32,6,14.56,1:39.76
2,9.56,1:26.20,1,9.56,1:25.72,3,10.18,,5,13.97,1:45.69,4,10.96,1:28.28,6,11.99,1:51.75
