AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
2,10.016,10.016,5,10.589,10.589,1,9.456,9.456,4,10.495,10.495,3,10.134,10.134,6,10.894,10.894
3,14.751,24.767,1,13.481,24.069,4,15.366,24.821,6,14.848,25.343,5,15.009,25.143,2,13.869,24.762
3,12.925,37.691,2,13.572,37.640,1,12.463,37.284,4,12.355,37.697,6,13.209,38.351,5,12.970,37.731
3,11.436,49.127,4,11.585,49.225,1,11.501,48.785,5,11.554,49.251,2,10.695,49.046,6,11.808,49.539
3,10.846,59.973,2,10.742,59.966,1,10.828,59.613,6,11.077,1:00.327,4,11.047,1:00.092,5,10.735,1:00.273
3,11.004,1:10.976,5,11.357,1:11.323,1,10.855,1:10.468,4,10.675,1:11.001,2,10.859,1:10.950,6,14.500,1:14.773
6,10.665,1:21.640,4,10.160,1:21.482,1,10.663,1:21.130,5,10.628,1:21.628,3,10.378,1:21.328,2,6.530,1:21.303
2,9.919,1:31.559,4,10.211,1:31.693,1,10.064,1:31.194,3,10.028,1:31.655,5,10.420,1:31.748,6,10.509,1:31.811
4,9.972,1:41.530,6,9.915,1:41.608,1,9.656,1:40.849,2,9.652,1:41.307,3,9.589,1:41.336,5,9.762,1:41.573
4,9.848,1:51.378,5,9.932,1:51.540,1,9.855,1:50.704,3,9.734,1:51.041,2,9.573,1:50.909,6,10.195,1:51.767
3,9.046,2:00.423,5,9.151,2:00.690,1,9.507,2:00.210,6,9.668,2:00.709,2,9.495,2:00.403,4,8.824,2:00.591
5,9.643,2:10.066,6,9.592,2:10.282,3,9.480,2:09.690,1,8.876,2:09.584,2,9.283,2:09.686,4,9.307,2:09.898
4,8.975,2:19.041,6,8.906,2:19.188,1,8.866,2:18.555,2,9.156,2:18.740,3,9.130,2:18.815,5,9.169,2:19.067
2,8.92,2:27.954,6,9.74,2:28.919,5,10.34,2:28.888,1,9.17,2:27.903,4,9.30,2:28.114,3,8.89,2:27.956
