Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Georgi TSVETKOV POSITION,Georgi TSVETKOV LAP TIME,Georgi TSVETKOV ELAPSED TIME
1,13.49,13.49,2,13.64,13.64,3,13.76,13.76,4,13.88,13.88,5,14.36,14.36
1,10.62,24.11,2,10.60,24.24,3,10.59,24.35,4,10.61,24.49,5,10.92,25.28
3,10.63,34.74,3,10.50,34.74,1,10.26,34.61,2,10.18,34.67,5,10.78,36.06
4,10.46,45.20,3,10.36,45.10,1,10.26,44.87,2,10.31,44.98,5,10.87,46.93
4,9.67,54.87,2,9.60,54.70,1,9.78,54.65,3,9.77,54.75,5,11.02,57.95
3,9.50,1:04.37,2,9.57,1:04.27,1,9.45,1:04.10,4,9.82,1:04.57,5,11.18,1:09.13
3,9.42,1:13.79,2,9.37,1:13.64,1,9.44,1:13.54,4,9.92,1:14.49,5,11.60,1:20.73
3,9.48,1:23.27,2,9.50,1:23.14,1,9.53,1:23.07,4,10.46,1:24.95,5,13.04,1:33.77
3,9.66,1:32.93,2,9.65,1:32.79,1,9.69,1:32.76,4,11.03,1:35.98,5,12.00,1:45.77
