LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME
2,7.09,7.09,1,7.04,7.04,3,7.31,7.31
2,9.46,16.55,1,9.33,16.37,3,9.24,16.55
3,8.89,25.44,1,8.78,25.15,2,8.63,25.18
3,8.90,34.34,2,9.02,34.17,1,8.52,33.70
3,9.13,43.470,2,9.24,43.401,1,8.81,42.510
