Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,6.82,6.82,2,6.93,6.93,4,7.38,7.38,3,6.98,6.98
4,9.73,16.55,1,9.31,16.24,3,9.12,16.50,2,9.30,16.28
2,8.45,25.00,4,9.07,25.31,3,8.67,25.17,1,8.62,24.90
3,9.34,34.34,4,9.40,34.71,2,8.48,33.65,1,8.68,33.58
4,9.82,44.152,3,9.38,44.089,1,8.84,42.482,2,9.90,42.580
