Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
1,6.90,6.90,2,7.01,7.01,3,7.16,7.16,4,7.33,7.33
1,9.01,15.91,2,9.00,16.01,3,8.99,16.15,4,8.96,16.29
3,8.58,24.49,2,8.38,24.39,1,8.24,24.39,4,8.33,24.62
4,8.75,33.24,1,8.44,32.83,2,8.56,32.95,3,8.51,33.13
4,8.84,42.075,2,8.61,41.433,1,8.48,41.423,3,8.54,41.669
