de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
2,11.89,11.89,5,12.50,12.50,4,12.32,12.32,3,12.11,12.11,1,11.70,11.70
2,16.25,28.14,5,16.16,28.66,4,16.22,28.54,3,16.21,28.32,1,16.26,27.96
2,15.82,43.96,5,15.99,44.65,4,15.88,44.42,3,15.87,44.19,1,15.85,43.81
2,15.29,59.25,5,15.10,59.75,4,15.17,59.59,3,15.24,59.43,1,15.26,59.07
3,14.36,1:13.61,4,14.05,1:13.80,5,14.21,1:13.80,1,14.03,1:13.46,2,14.45,1:13.52
5,12.51,1:26.12,4,12.30,1:26.10,3,12.21,1:26.01,1,12.35,1:25.81,2,12.39,1:25.91
5,10.81,1:36.93,1,10.43,1:36.53,4,10.80,1:36.81,3,10.77,1:36.58,2,10.64,1:36.55
5,10.02,1:46.95,1,10.00,1:46.53,4,10.06,1:46.87,3,10.17,1:46.75,2,10.11,1:46.66
5,10.35,1:57.30,1,10.43,1:56.96,4,10.33,1:57.20,3,10.42,1:57.17,2,10.41,1:57.07
5,9.69,2:06.99,3,9.88,2:06.84,1,9.49,2:06.69,4,9.78,2:06.95,2,9.67,2:06.74
4,9.54,2:16.53,3,9.47,2:16.31,1,9.33,2:16.02,5,20.68,2:27.63,2,9.39,2:16.13
4,9.30,2:25.83,3,9.36,2:25.67,1,9.45,2:25.47,5,13.17,2:40.80,2,9.43,2:25.56
4,9.52,2:35.35,3,9.52,2:35.19,1,9.56,2:35.03,5,12.06,2:52.86,2,9.56,2:35.12
4,9.71,2:45.057,3,9.78,2:44.966,1,9.69,2:44.713,5,11.57,3:04.429,2,9.70,2:44.812
