Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME
2,6.98,6.98,1,6.80,6.80,3,7.07,7.07,4,7.40,7.40
2,8.90,15.88,1,8.81,15.61,3,9.00,16.07,4,9.30,16.70
2,8.45,24.33,1,8.63,24.24,3,8.43,24.50,4,8.91,25.61
3,9.04,33.37,1,8.84,33.08,2,8.74,33.24,4,9.04,34.65
3,8.93,42.297,1,9.01,42.087,2,8.95,42.186,4,9.23,43.879
