HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME
2,8.95,8.95,4,9.26,9.26,6,9.37,9.37,7,9.63,9.63,1,8.80,,3,9.10,9.10,5,9.34,9.34
2,12.05,21.00,4,12.00,21.26,6,12.11,21.48,7,12.00,21.63,1,12.12,,3,12.04,21.14,5,12.03,21.37
1,11.13,32.13,4,11.22,32.48,6,11.22,32.70,7,11.25,32.88,2,11.34,,3,11.23,32.37,5,11.22,32.59
3,10.98,43.11,4,10.85,43.33,6,10.87,43.57,7,10.85,43.73,1,10.71,,2,10.73,43.10,5,10.85,43.44
4,10.61,53.72,3,10.37,53.70,6,10.40,53.97,7,10.39,54.12,1,10.57,,2,10.52,53.62,5,10.33,53.77
3,9.89,1:03.61,2,9.84,1:03.54,6,9.94,1:03.91,7,9.97,1:04.09,5,10.22,,4,10.12,1:03.74,1,9.61,1:03.38
3,10.21,1:13.82,2,10.17,1:13.71,5,10.08,1:13.99,7,10.19,1:14.28,6,10.37,,4,10.17,1:13.91,1,10.32,1:13.70
2,9.92,1:23.74,1,9.95,1:23.66,5,9.89,1:23.88,7,9.86,1:24.14,6,9.84,,4,9.96,1:23.87,3,10.10,1:23.80
3,9.62,1:33.36,1,9.60,1:33.26,5,9.77,1:33.65,7,9.73,1:33.87,4,9.58,,6,9.93,1:33.80,2,9.53,1:33.33
7,18.65,1:52.01,1,9.18,1:42.44,4,9.22,1:42.87,5,9.10,1:42.97,3,9.19,,6,9.18,1:42.98,2,9.18,1:42.51
7,30.23,2:22.24,1,8.96,1:51.40,4,8.81,1:51.68,5,8.72,1:51.69,3,8.88,,6,8.93,1:51.91,2,8.94,1:51.45
7,14.95,2:37.19,2,8.93,2:00.33,4,8.91,2:00.59,5,9.01,2:00.70,3,8.79,,6,9.18,2:01.09,1,8.69,2:00.14
7,12.08,2:49.27,6,27.20,2:27.53,2,8.93,2:09.52,4,8.90,2:09.60,3,9.16,,5,9.84,2:10.93,1,8.73,2:08.87
7,10.87,3:00.14,6,32.27,2:59.80,3,9.29,2:18.81,2,8.96,2:18.56,4,11.25,,5,10.74,2:21.67,1,8.85,2:17.72
