Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Joanie GERVAIS POSITION,Joanie GERVAIS LAP TIME,Joanie GERVAIS ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME
2,9.44,9.44,1,9.31,9.31,5,9.68,9.68,6,9.98,9.98,4,9.54,9.54,3,9.53,9.53
2,12.72,22.16,1,12.75,22.06,5,12.83,22.51,6,12.68,22.66,3,12.71,22.25,4,12.84,22.37
2,12.21,34.37,1,12.22,34.28,6,12.07,34.58,5,11.89,34.55,4,12.16,34.41,3,12.04,34.41
2,12.00,46.37,1,12.00,46.28,6,12.16,46.74,5,12.12,46.67,3,12.04,46.45,4,12.12,46.53
4,11.84,58.21,2,11.89,58.17,3,11.46,58.20,1,11.47,58.14,5,11.92,58.37,6,11.97,58.50
3,10.38,1:08.59,4,10.49,1:08.66,1,10.15,1:08.35,2,10.35,1:08.49,5,10.43,1:08.80,6,10.36,1:08.86
3,10.13,1:18.72,4,10.07,1:18.73,1,10.23,1:18.58,2,10.19,1:18.68,5,10.04,1:18.84,6,10.09,1:18.95
3,10.17,1:28.89,4,10.16,1:28.89,1,10.13,1:28.71,2,10.15,1:28.83,5,10.21,1:29.05,6,10.14,1:29.09
4,10.26,1:39.15,3,10.18,1:39.07,1,10.20,1:38.91,2,10.19,1:39.02,5,10.22,1:39.27,6,10.22,1:39.31
5,10.29,1:49.44,3,10.18,1:49.25,1,10.07,1:48.98,2,10.16,1:49.18,4,10.14,1:49.41,6,10.21,1:49.52
5,9.67,1:59.11,3,9.61,1:58.86,2,9.81,1:58.79,1,9.32,1:58.50,4,9.57,1:58.98,6,10.32,1:59.84
5,9.53,2:08.64,3,9.60,2:08.46,2,9.56,2:08.35,1,9.17,2:07.67,4,9.59,2:08.57,6,10.87,2:10.71
4,9.53,2:18.17,3,9.65,2:18.11,2,9.65,2:18.00,1,9.41,2:17.08,5,9.88,2:18.45,6,11.74,2:22.45
3,10.08,2:28.245,0,,PEN,2,10.01,2:28.009,1,9.80,2:26.874,4,10.58,2:29.030,5,12.49,2:34.933
