John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
4,13.51,13.51,3,13.47,13.47,5,13.65,13.65,1,13.29,13.29,2,13.39,13.39
4,9.82,23.33,1,9.47,22.94,5,9.82,23.47,2,9.78,23.07,3,9.77,23.16
3,9.49,32.82,1,9.64,32.58,5,9.59,33.06,2,9.60,32.67,4,9.79,32.95
3,9.29,42.11,1,9.30,41.88,5,9.44,42.50,2,9.25,41.92,4,9.29,42.24
3,9.29,51.40,1,9.29,51.17,5,9.34,51.84,2,9.35,51.27,4,9.30,51.54
3,9.34,1:00.74,1,9.36,1:00.53,5,9.62,1:01.46,2,9.38,1:00.65,4,9.31,1:00.85
3,9.31,1:10.05,1,9.29,1:09.82,5,10.09,1:11.55,2,9.31,1:09.96,4,9.37,1:10.22
3,9.24,1:19.29,2,9.35,1:19.17,5,10.60,1:22.15,1,9.19,1:19.15,4,9.32,1:19.54
0,,PHOTO,0,,PHOTO,5,11.18,1:33.33,1,9.32,1:28.47,4,9.55,1:29.09
