PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
1,13.01,13.01,2,13.09,13.09,3,13.10,13.10,4,13.27,13.27,5,13.38,13.38
2,9.76,22.77,1,9.55,22.64,5,9.82,22.92,3,9.61,22.88,4,9.53,22.91
2,9.31,32.08,1,9.33,31.97,3,9.29,32.21,5,9.54,32.42,4,9.31,32.22
2,9.19,41.27,1,9.20,41.17,3,9.18,41.39,5,9.23,41.65,4,9.33,41.55
1,8.86,50.13,2,9.05,50.22,3,8.99,50.38,5,8.98,50.63,4,8.97,50.52
1,9.07,59.20,2,9.08,59.30,3,9.04,59.42,5,8.97,59.60,4,8.99,59.51
1,9.05,1:08.25,2,9.04,1:08.34,3,9.03,1:08.45,5,9.07,1:08.67,4,9.09,1:08.60
1,9.02,1:17.27,2,9.03,1:17.37,3,9.02,1:17.47,5,9.14,1:17.81,4,9.02,1:17.62
1,9.26,1:26.53,2,9.25,1:26.62,3,9.19,1:26.66,5,9.28,1:27.09,4,9.16,1:26.78
