HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
3,12.73,12.73,1,12.52,12.52,2,12.61,12.61,4,12.82,12.82
3,9.88,22.62,1,9.71,22.24,2,9.86,22.48,4,9.94,22.76
3,9.19,31.82,1,9.52,31.76,2,9.28,31.77,4,9.25,32.02
1,8.85,40.67,2,9.00,40.77,3,9.16,40.93,4,9.30,41.32
1,9.49,50.17,2,9.42,50.19,3,9.26,50.20,4,9.10,50.43
2,9.43,59.60,1,9.35,59.55,3,9.61,59.81,4,9.56,1:00.00
2,9.42,1:09.03,1,9.38,1:08.93,3,9.47,1:09.29,4,9.59,1:09.59
1,9.47,1:18.50,2,9.65,1:18.59,3,9.45,1:18.74,4,9.55,1:19.14
1,9.77,1:28.261,2,9.68,1:28.267,3,9.64,1:28.377,4,10.01,1:29.144
