Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Asmir SELIMBEGOVIC POSITION,Asmir SELIMBEGOVIC LAP TIME,Asmir SELIMBEGOVIC ELAPSED TIME
5,8.43,8.43,2,7.75,7.75,1,7.52,7.52,4,8.15,8.15,6,8.93,8.93,3,7.81,7.81
1,9.38,17.81,2,10.20,17.95,4,10.66,18.18,3,9.95,18.10,5,9.59,18.52,6,11.31,19.12
2,10.55,28.36,1,10.23,28.18,4,10.45,28.63,3,10.49,28.59,5,10.35,28.87,6,9.97,29.09
2,10.73,39.09,1,10.88,39.06,4,10.66,39.29,6,11.34,39.93,5,10.59,39.46,3,10.20,39.29
2,10.69,49.78,1,10.61,49.67,3,10.56,49.85,6,10.35,50.28,5,10.69,50.15,4,10.69,49.98
3,10.61,1:00.39,1,10.50,1:00.17,4,10.71,1:00.56,5,10.60,1:00.88,6,10.83,1:00.98,2,10.29,1:00.27
5,11.01,1:11.40,1,10.53,1:10.70,3,10.32,1:10.88,4,10.46,1:11.34,6,10.50,1:11.48,2,10.47,1:10.74
1,9.33,1:20.73,2,10.33,1:21.03,3,10.22,1:21.10,5,10.26,1:21.60,4,9.99,1:21.47,6,19.03,1:29.77
2,9.88,1:30.61,1,9.52,1:30.55,3,9.68,1:30.78,5,12.11,1:33.71,4,9.75,1:31.22,6,18.21,1:47.98
1,9.56,1:40.17,2,9.92,1:40.47,3,9.82,1:40.60,5,11.77,1:45.48,4,9.74,1:40.96,6,16.27,2:04.25
2,10.33,1:50.50,1,9.59,1:50.06,4,10.04,1:50.64,5,12.55,1:58.03,3,9.55,1:50.51,6,14.57,2:18.82
1,8.97,1:59.47,3,10.11,2:00.17,2,9.07,1:59.71,5,13.71,2:11.74,4,10.57,2:01.08,6,15.02,2:33.84
2,10.67,2:10.14,3,10.20,2:10.37,1,9.48,2:09.19,5,13.05,2:24.79,4,10.15,2:11.23,6,17.52,2:51.36
1,9.24,2:19.373,3,11.01,2:21.372,2,10.27,2:19.453,4,13.27,2:38.054,0,,PEN,0,,notime
