LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,6.88,6.88,2,7.02,7.02,3,7.26,7.26,4,7.54,7.54
1,9.38,16.26,2,9.34,16.36,3,9.34,16.60,4,9.27,16.81
1,8.92,25.18,2,8.97,25.33,3,8.80,25.40,4,8.77,25.58
4,13.30,38.48,1,8.95,34.28,2,8.94,34.34,3,8.87,34.45
4,22.70,1:01.176,1,9.24,43.512,2,9.26,43.595,3,9.18,43.624
