Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,7.04,7.04,1,6.93,6.93,3,7.21,,4,7.31,7.31
2,8.82,15.86,1,8.84,15.77,4,8.98,,3,8.76,16.07
2,8.36,24.22,1,8.37,24.14,4,8.36,,3,8.33,24.40
2,8.49,32.71,1,8.51,32.65,4,8.39,,3,8.42,32.82
1,,41.382,2,,41.387,4,18.62,,3,14.05,46.826
