April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,14.64,,1,14.54,14.54,3,14.64,14.64,2,14.60,14.60,5,14.81,14.81
4,10.58,,2,10.49,25.03,1,10.32,24.96,3,10.53,25.13,5,10.64,25.45
4,10.09,,1,10.04,35.07,3,10.21,35.17,2,10.00,35.13,5,10.06,35.51
4,9.73,,1,9.75,44.82,3,9.86,45.03,2,9.81,44.94,5,9.69,45.20
3,9.93,,1,9.72,54.54,5,10.19,55.22,2,9.70,54.64,4,9.87,55.07
4,10.00,,1,9.58,1:04.12,5,9.77,1:04.99,2,9.58,1:04.22,3,9.70,1:04.77
5,11.32,,1,9.58,1:13.70,4,10.14,1:15.13,2,9.56,1:13.78,3,9.49,1:14.26
5,12.07,,1,9.54,1:23.24,4,10.34,1:25.47,2,9.61,1:23.39,3,9.40,1:23.66
5,12.87,,1,9.60,1:32.84,4,10.85,1:36.32,2,9.60,1:32.99,3,9.41,1:33.07
