Ema ZELINSKA POSITION,Ema ZELINSKA LAP TIME,Ema ZELINSKA ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,IVANDIC Maja POSITION,IVANDIC Maja LAP TIME,IVANDIC Maja ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Petra JASIC POSITION,Petra JASIC LAP TIME,Petra JASIC ELAPSED TIME,Mikayla BIGGS POSITION,Mikayla BIGGS LAP TIME,Mikayla BIGGS ELAPSED TIME
2,11.56,11.56,4,11.66,11.66,6,11.76,11.76,7,11.83,11.83,1,11.41,11.41,5,11.67,11.67,3,11.65,11.65
3,15.98,27.54,6,16.17,27.83,1,15.51,27.27,4,15.73,27.56,2,15.99,27.40,7,16.28,27.95,5,16.06,27.71
3,15.39,42.93,6,15.45,43.28,1,15.39,42.66,5,15.52,43.08,2,15.41,42.81,7,15.48,43.43,4,15.23,42.94
4,14.44,57.37,6,14.33,57.61,1,14.36,57.02,5,14.44,57.52,2,14.33,57.14,7,14.31,57.74,3,14.34,57.28
4,14.08,1:11.45,6,14.08,1:11.69,1,14.05,1:11.07,5,14.05,1:11.57,2,14.03,1:11.17,7,14.04,1:11.78,3,14.06,1:11.34
3,12.77,1:24.22,6,12.77,1:24.46,2,13.05,1:24.12,5,12.76,1:24.33,1,12.88,1:24.05,7,12.89,1:24.67,4,12.92,1:24.26
4,10.77,1:34.99,5,10.67,1:35.13,2,10.71,1:34.83,6,11.02,1:35.35,1,10.70,1:34.75,7,10.99,1:35.66,3,10.71,1:34.97
4,10.41,1:45.40,5,10.34,1:45.47,2,10.40,1:45.23,6,10.25,1:45.60,1,10.37,1:45.12,7,10.42,1:46.08,3,10.37,1:45.34
4,10.58,1:55.98,5,10.57,1:56.04,2,10.53,1:55.76,6,10.66,1:56.26,1,10.54,1:55.66,7,10.74,1:56.82,3,10.55,1:55.89
3,10.20,2:06.18,5,10.31,2:06.35,2,10.30,2:06.06,6,10.59,2:06.85,1,10.32,2:05.98,7,11.17,2:07.99,4,10.39,2:06.28
4,10.12,2:16.30,3,9.86,2:16.21,2,10.10,2:16.16,6,10.87,2:17.72,1,10.08,2:16.06,7,11.27,2:19.26,5,10.13,2:16.41
5,10.23,2:26.53,3,10.13,2:26.34,2,10.03,2:26.19,6,11.18,2:28.90,1,9.95,2:26.01,7,11.21,2:30.47,3,9.93,2:26.34
5,10.68,2:37.21,4,10.57,2:36.91,1,9.99,2:36.18,6,11.67,2:40.57,1,10.17,2:36.18,7,11.46,2:41.93,3,10.07,2:36.41
5,11.13,2:48.315,4,10.40,2:47.296,1,10.26,2:46.418,6,11.89,2:52.428,3,10.77,2:46.930,7,11.57,2:53.472,2,10.28,2:46.668
