BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
5,15.97,15.97,4,15.85,15.85,2,15.74,15.74,3,15.83,15.83,1,15.67,15.67
3,11.22,27.19,3,11.34,27.19,2,11.36,27.10,5,11.54,27.37,1,11.35,27.02
4,10.81,38.00,5,11.25,38.44,1,10.54,37.64,3,10.44,37.81,2,10.72,37.74
4,9.94,47.94,5,9.92,48.36,2,10.07,47.71,3,9.97,47.78,1,9.86,47.60
4,10.02,57.96,5,9.78,58.14,2,10.05,57.76,3,10.07,57.85,1,10.08,57.68
4,9.78,1:07.74,5,9.82,1:07.96,2,9.77,1:07.53,3,9.79,1:07.64,1,9.75,1:07.43
4,9.72,1:17.46,5,9.73,1:17.69,2,9.59,1:17.12,3,9.62,1:17.26,1,9.60,1:17.03
4,9.97,1:27.43,5,9.85,1:27.54,2,9.62,1:26.74,3,9.75,1:27.01,1,9.62,1:26.65
5,10.40,1:37.83,4,9.96,1:37.50,2,9.79,1:36.53,3,9.93,1:36.94,1,9.85,1:36.50
