HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
2,7.12,7.12,1,7.02,7.02,4,7.16,7.16,3,7.13,7.13
2,9.23,16.35,1,9.19,16.21,4,9.42,16.58,3,9.29,16.42
2,8.73,25.08,1,8.86,25.07,4,8.71,25.29,3,8.77,25.19
1,8.81,33.89,3,9.00,34.07,4,8.79,34.08,2,8.79,33.98
1,9.10,42.986,4,9.24,43.309,3,9.17,43.249,2,9.21,43.181
