Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
2,12.81,12.81,3,12.96,12.96,1,12.73,12.73,4,13.05,13.05,5,13.23,13.23
4,10.17,22.98,3,9.87,22.83,1,9.97,22.70,2,9.72,22.77,5,9.93,23.16
2,9.48,32.46,4,9.77,32.60,1,9.64,32.34,3,9.78,32.55,5,9.59,32.75
2,9.75,42.21,3,9.71,42.31,1,9.79,42.13,4,9.87,42.42,5,9.79,42.54
2,10.11,52.32,3,10.11,52.42,1,10.08,52.21,4,10.15,52.57,5,10.10,52.64
4,10.18,1:02.50,3,10.04,1:02.46,1,10.02,1:02.23,2,9.88,1:02.45,5,10.07,1:02.71
3,9.96,1:12.46,4,10.41,1:12.87,1,9.96,1:12.19,2,9.83,1:12.28,5,10.17,1:12.88
3,10.10,1:22.56,5,10.88,1:23.75,1,10.17,1:22.36,2,10.18,1:22.46,4,9.93,1:22.81
3,10.26,1:32.817,5,12.47,1:36.215,1,10.22,1:32.571,2,10.22,1:32.674,4,10.11,1:32.916
