HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
3,7.05,7.05,1,6.78,6.78,2,7.04,7.04,4,7.22,7.22
3,9.08,16.14,1,9.20,15.99,4,9.22,16.26,2,8.83,16.06
2,8.35,24.49,1,8.38,24.37,3,8.37,24.63,4,8.64,24.70
2,8.49,32.99,1,8.51,32.89,3,26.60,51.24,0,,
1,8.77,41.759,2,8.98,41.866,4,12.71,1:03.947,3,,42.171
