Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,14.71,14.71,3,14.92,14.92,4,15.12,15.12,2,14.80,14.80
1,11.68,26.39,3,11.69,26.61,4,11.70,26.82,2,11.68,26.48
1,11.31,37.70,3,11.29,37.90,4,11.25,38.07,2,11.30,37.78
1,10.88,48.58,3,10.96,48.86,4,10.95,49.02,2,10.91,48.69
2,10.32,58.90,3,10.18,59.04,4,10.21,59.23,1,10.17,58.86
2,9.99,1:08.89,4,9.94,1:08.98,3,9.75,1:08.98,1,9.94,1:08.80
3,9.85,1:18.74,4,9.87,1:18.85,1,9.43,1:18.41,2,9.75,1:18.55
3,9.63,1:28.37,4,9.86,1:28.71,1,9.55,1:27.96,2,9.57,1:28.12
3,9.69,1:38.053,4,9.78,1:38.488,1,9.59,1:37.546,2,9.64,1:37.753
