ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
2,12.95,12.95,3,13.04,13.04,1,12.90,12.90,4,13.23,13.23
1,9.83,22.79,2,9.89,22.93,3,10.05,22.96,4,9.78,23.01
3,9.77,32.56,2,9.61,32.55,1,9.56,32.52,4,9.79,32.80
2,9.47,42.03,3,9.55,42.11,1,9.01,41.53,4,9.47,42.28
3,9.78,51.82,2,9.68,51.79,1,10.02,51.56,4,9.65,51.93
2,9.88,1:01.70,3,10.01,1:01.80,1,9.90,1:01.46,4,9.89,1:01.83
1,9.48,1:11.18,3,9.86,1:11.66,2,9.79,1:11.26,4,9.89,1:11.72
1,9.77,1:20.95,3,9.63,1:21.30,2,9.84,1:21.10,4,9.77,1:21.50
1,9.94,1:30.885,3,9.88,1:31.180,2,9.98,1:31.075,4,9.89,1:31.385
