Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
4,14.31,14.31,1,13.92,13.92,3,14.18,14.18,2,13.99,13.99,5,14.48,14.48
4,11.01,25.32,1,11.06,24.98,3,11.01,25.19,2,11.08,25.07,5,11.03,25.51
4,10.88,36.20,1,10.86,35.84,3,10.91,36.10,2,10.87,35.94,5,10.81,36.32
4,10.45,46.65,1,10.52,46.36,3,10.44,46.54,2,10.52,46.46,5,10.54,46.86
3,9.43,56.08,2,9.65,56.01,1,9.29,55.83,5,26.84,1:13.30,4,9.94,56.80
3,9.44,1:05.52,2,9.40,1:05.41,1,9.32,1:05.15,5,16.23,1:29.53,4,10.39,1:07.19
3,9.43,1:14.95,2,9.48,1:14.89,1,9.40,1:14.55,5,12.09,1:41.62,4,11.00,1:18.19
2,9.67,1:24.62,3,9.88,1:24.77,1,9.64,1:24.19,5,11.84,1:53.46,4,11.52,1:29.71
2,9.72,1:34.34,3,10.07,1:34.84,1,9.66,1:33.85,5,12.07,2:05.530,4,11.68,1:41.390
