PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,14.05,14.05,3,14.33,14.33,4,14.45,14.45,2,14.17,14.17
1,11.20,25.25,4,11.14,25.47,3,10.94,25.39,2,11.18,25.35
3,9.78,35.03,2,9.47,34.94,1,9.46,34.85,4,9.77,35.12
4,9.52,44.55,3,9.51,44.45,1,9.48,44.33,2,9.29,44.41
3,8.94,53.49,4,9.08,53.53,2,9.08,53.41,1,8.87,53.28
3,9.17,1:02.66,4,9.25,1:02.78,2,9.12,1:02.53,1,9.16,1:02.44
3,9.34,1:12.00,4,9.33,1:12.11,2,9.37,1:11.90,1,9.31,1:11.75
2,8.91,1:20.91,4,9.09,1:21.20,3,9.04,1:20.94,1,9.08,1:20.83
2,9.13,1:30.04,4,9.08,1:30.28,3,9.23,1:30.17,1,9.15,1:29.98
