Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,LETAI Julie POSITION,LETAI Julie LAP TIME,LETAI Julie ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
2,14.05,14.05,1,13.98,13.98,4,14.28,14.28,3,14.08,14.08,5,14.41,14.41
1,10.06,24.11,2,10.20,24.18,4,10.08,24.36,3,10.20,24.28,5,10.01,24.42
1,10.02,34.13,3,10.04,34.22,2,9.83,34.19,4,9.97,34.25,5,9.87,34.29
2,9.68,43.81,3,9.67,43.89,1,9.55,43.74,5,9.84,44.09,4,9.70,43.99
2,9.88,53.69,3,9.87,53.76,1,9.87,53.61,3,9.67,53.76,5,9.86,53.85
3,9.80,1:03.49,4,9.89,1:03.65,1,9.80,1:03.41,2,9.70,1:03.46,5,9.90,1:03.75
5,26.81,1:30.30,4,9.88,1:13.53,1,9.81,1:13.22,2,9.88,1:13.34,3,9.72,1:13.47
5,24.03,1:54.33,4,10.43,1:23.96,1,9.96,1:23.18,2,10.03,1:23.37,3,9.98,1:23.45
5,15.75,2:10.08,4,10.62,1:34.58,1,10.20,1:33.38,3,10.28,1:33.65,2,10.02,1:33.47
