GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
4,7.65,7.65,1,7.13,7.13,2,7.22,7.22,3,7.41,7.41
4,9.17,16.82,1,9.42,16.55,2,9.43,16.65,3,9.31,16.72
3,8.88,25.70,1,8.74,25.29,2,8.71,25.36,4,32.43,49.15
3,8.74,34.44,2,8.79,34.08,1,8.62,33.98,4,22.15,1:11.30
0,,PEN,2,8.91,42.985,1,8.74,42.719,3,1:468.70,9:59.991
